shift_id,date,start_time,end_time
shift-W-001,2026-04-06,08:00,16:00
shift-W-002,2026-04-06,16:00,23:59
shift-W-003,2026-04-06,00:00,08:00
shift-W-004,2026-04-07,08:00,16:00
shift-W-005,2026-04-07,16:00,23:59
shift-W-006,2026-04-07,00:00,08:00
shift-W-007,2026-04-08,08:00,16:00
shift-W-008,2026-04-08,16:00,23:59
shift-W-009,2026-04-08,00:00,08:00
shift-W-010,2026-04-09,08:00,16:00
shift-W-011,2026-04-09,16:00,23:59
shift-W-012,2026-04-09,00:00,08:00
shift-E-001,2026-04-10,08:00,16:00
shift-E-002,2026-04-10,16:00,23:59
shift-E-003,2026-04-10,00:00,08:00
shift-E-004,2026-04-11,08:00,16:00
shift-E-005,2026-04-11,16:00,23:59
shift-E-006,2026-04-11,00:00,08:00
shift-E-007,2026-04-12,08:00,16:00
shift-E-008,2026-04-12,16:00,23:59
shift-E-009,2026-04-12,00:00,08:00
shift-W-013,2026-04-13,08:00,16:00
shift-W-014,2026-04-13,16:00,23:59
shift-W-015,2026-04-13,00:00,08:00
shift-W-016,2026-04-14,08:00,16:00
shift-W-017,2026-04-14,16:00,23:59
shift-W-018,2026-04-14,00:00,08:00
shift-W-019,2026-04-15,08:00,16:00
shift-W-020,2026-04-15,16:00,23:59
shift-W-021,2026-04-15,00:00,08:00
shift-W-022,2026-04-16,08:00,16:00
shift-W-023,2026-04-16,16:00,23:59
shift-W-024,2026-04-16,00:00,08:00
shift-E-010,2026-04-17,08:00,16:00
shift-E-011,2026-04-17,16:00,23:59
shift-E-012,2026-04-17,00:00,08:00
shift-E-013,2026-04-18,08:00,16:00
shift-E-014,2026-04-18,16:00,23:59
shift-E-015,2026-04-18,00:00,08:00
shift-E-016,2026-04-19,08:00,16:00
shift-E-017,2026-04-19,16:00,23:59
shift-E-018,2026-04-19,00:00,08:00
shift-W-025,2026-04-20,08:00,16:00
shift-W-026,2026-04-20,16:00,23:59
shift-W-027,2026-04-20,00:00,08:00
shift-W-028,2026-04-21,08:00,16:00
shift-W-029,2026-04-21,16:00,23:59
shift-W-030,2026-04-21,00:00,08:00
shift-W-031,2026-04-22,08:00,16:00
shift-W-032,2026-04-22,16:00,23:59
shift-W-033,2026-04-22,00:00,08:00
shift-W-034,2026-04-23,08:00,16:00
shift-W-035,2026-04-23,16:00,23:59
shift-W-036,2026-04-23,00:00,08:00
shift-E-019,2026-04-24,08:00,16:00
shift-E-020,2026-04-24,16:00,23:59
shift-E-021,2026-04-24,00:00,08:00
shift-E-022,2026-04-25,08:00,16:00
shift-E-023,2026-04-25,16:00,23:59
shift-E-024,2026-04-25,00:00,08:00
shift-E-025,2026-04-26,08:00,16:00
shift-E-026,2026-04-26,16:00,23:59
shift-E-027,2026-04-26,00:00,08:00
shift-W-037,2026-04-27,08:00,16:00
shift-W-038,2026-04-27,16:00,23:59
shift-W-039,2026-04-27,00:00,08:00
shift-W-040,2026-04-28,08:00,16:00
shift-W-041,2026-04-28,16:00,23:59
shift-W-042,2026-04-28,00:00,08:00
shift-W-043,2026-04-29,08:00,16:00
shift-W-044,2026-04-29,16:00,23:59
shift-W-045,2026-04-29,00:00,08:00
shift-W-046,2026-04-30,08:00,16:00
shift-W-047,2026-04-30,16:00,23:59
shift-W-048,2026-04-30,00:00,08:00
shift-E-028,2026-05-01,08:00,16:00
shift-E-029,2026-05-01,16:00,23:59
shift-E-030,2026-05-01,00:00,08:00
shift-E-031,2026-05-02,08:00,16:00
shift-E-032,2026-05-02,16:00,23:59
shift-E-033,2026-05-02,00:00,08:00
shift-E-034,2026-05-03,08:00,16:00
shift-E-035,2026-05-03,16:00,23:59
shift-E-036,2026-05-03,00:00,08:00
shift-W-049,2026-05-04,08:00,16:00
shift-W-050,2026-05-04,16:00,23:59
shift-W-051,2026-05-04,00:00,08:00
shift-W-052,2026-05-05,08:00,16:00
shift-W-053,2026-05-05,16:00,23:59
shift-W-054,2026-05-05,00:00,08:00
shift-W-055,2026-05-06,08:00,16:00
shift-W-056,2026-05-06,16:00,23:59
shift-W-057,2026-05-06,00:00,08:00
shift-W-058,2026-05-07,08:00,16:00
shift-W-059,2026-05-07,16:00,23:59
shift-W-060,2026-05-07,00:00,08:00
shift-E-037,2026-05-08,08:00,16:00
shift-E-038,2026-05-08,16:00,23:59
shift-E-039,2026-05-08,00:00,08:00
shift-E-040,2026-05-09,08:00,16:00
shift-E-041,2026-05-09,16:00,23:59
shift-E-042,2026-05-09,00:00,08:00
shift-E-043,2026-05-10,08:00,16:00
shift-E-044,2026-05-10,16:00,23:59
shift-E-045,2026-05-10,00:00,08:00
shift-W-061,2026-05-11,08:00,16:00
shift-W-062,2026-05-11,16:00,23:59
shift-W-063,2026-05-11,00:00,08:00
shift-W-064,2026-05-12,08:00,16:00
shift-W-065,2026-05-12,16:00,23:59
shift-W-066,2026-05-12,00:00,08:00
shift-W-067,2026-05-13,08:00,16:00
shift-W-068,2026-05-13,16:00,23:59
shift-W-069,2026-05-13,00:00,08:00
shift-W-070,2026-05-14,08:00,16:00
shift-W-071,2026-05-14,16:00,23:59
shift-W-072,2026-05-14,00:00,08:00
shift-E-046,2026-05-15,08:00,16:00
shift-E-047,2026-05-15,16:00,23:59
shift-E-048,2026-05-15,00:00,08:00
shift-E-049,2026-05-16,08:00,16:00
shift-E-050,2026-05-16,16:00,23:59
shift-E-051,2026-05-16,00:00,08:00
shift-E-052,2026-05-17,08:00,16:00
shift-E-053,2026-05-17,16:00,23:59
shift-E-054,2026-05-17,00:00,08:00
shift-W-073,2026-05-18,08:00,16:00
shift-W-074,2026-05-18,16:00,23:59
shift-W-075,2026-05-18,00:00,08:00
shift-W-076,2026-05-19,08:00,16:00
shift-W-077,2026-05-19,16:00,23:59
shift-W-078,2026-05-19,00:00,08:00
shift-W-079,2026-05-20,08:00,16:00
shift-W-080,2026-05-20,16:00,23:59
shift-W-081,2026-05-20,00:00,08:00
shift-W-082,2026-05-21,08:00,16:00
shift-W-083,2026-05-21,16:00,23:59
shift-W-084,2026-05-21,00:00,08:00
shift-E-055,2026-05-22,08:00,16:00
shift-E-056,2026-05-22,16:00,23:59
shift-E-057,2026-05-22,00:00,08:00
shift-E-058,2026-05-23,08:00,16:00
shift-E-059,2026-05-23,16:00,23:59
shift-E-060,2026-05-23,00:00,08:00
shift-E-061,2026-05-24,08:00,16:00
shift-E-062,2026-05-24,16:00,23:59
shift-E-063,2026-05-24,00:00,08:00
shift-W-085,2026-05-25,08:00,16:00
shift-W-086,2026-05-25,16:00,23:59
shift-W-087,2026-05-25,00:00,08:00
shift-W-088,2026-05-26,08:00,16:00
shift-W-089,2026-05-26,16:00,23:59
shift-W-090,2026-05-26,00:00,08:00
shift-W-091,2026-05-27,08:00,16:00
shift-W-092,2026-05-27,16:00,23:59
shift-W-093,2026-05-27,00:00,08:00
shift-W-094,2026-05-28,08:00,16:00
shift-W-095,2026-05-28,16:00,23:59
shift-W-096,2026-05-28,00:00,08:00
shift-E-064,2026-05-29,08:00,16:00
shift-E-065,2026-05-29,16:00,23:59
shift-E-066,2026-05-29,00:00,08:00
shift-E-067,2026-05-30,08:00,16:00
shift-E-068,2026-05-30,16:00,23:59
shift-E-069,2026-05-30,00:00,08:00
shift-E-070,2026-05-31,08:00,16:00
shift-E-071,2026-05-31,16:00,23:59
shift-E-072,2026-05-31,00:00,08:00
shift-W-097,2026-06-01,08:00,16:00
shift-W-098,2026-06-01,16:00,23:59
shift-W-099,2026-06-01,00:00,08:00
shift-W-100,2026-06-02,08:00,16:00
shift-W-101,2026-06-02,16:00,23:59
shift-W-102,2026-06-02,00:00,08:00
shift-W-103,2026-06-03,08:00,16:00
shift-W-104,2026-06-03,16:00,23:59
shift-W-105,2026-06-03,00:00,08:00
shift-W-106,2026-06-04,08:00,16:00
shift-W-107,2026-06-04,16:00,23:59
shift-W-108,2026-06-04,00:00,08:00
shift-E-073,2026-06-05,08:00,16:00
shift-E-074,2026-06-05,16:00,23:59
shift-E-075,2026-06-05,00:00,08:00
shift-E-076,2026-06-06,08:00,16:00
shift-E-077,2026-06-06,16:00,23:59
shift-E-078,2026-06-06,00:00,08:00
shift-E-079,2026-06-07,08:00,16:00
shift-E-080,2026-06-07,16:00,23:59
shift-E-081,2026-06-07,00:00,08:00
shift-W-109,2026-06-08,08:00,16:00
shift-W-110,2026-06-08,16:00,23:59
shift-W-111,2026-06-08,00:00,08:00
shift-W-112,2026-06-09,08:00,16:00
shift-W-113,2026-06-09,16:00,23:59
shift-W-114,2026-06-09,00:00,08:00
shift-W-115,2026-06-10,08:00,16:00
shift-W-116,2026-06-10,16:00,23:59
shift-W-117,2026-06-10,00:00,08:00
shift-W-118,2026-06-11,08:00,16:00
shift-W-119,2026-06-11,16:00,23:59
shift-W-120,2026-06-11,00:00,08:00
shift-E-082,2026-06-12,08:00,16:00
shift-E-083,2026-06-12,16:00,23:59
shift-E-084,2026-06-12,00:00,08:00
shift-E-085,2026-06-13,08:00,16:00
shift-E-086,2026-06-13,16:00,23:59
shift-E-087,2026-06-13,00:00,08:00
shift-E-088,2026-06-14,08:00,16:00
shift-E-089,2026-06-14,16:00,23:59
shift-E-090,2026-06-14,00:00,08:00
shift-W-121,2026-06-15,08:00,16:00
shift-W-122,2026-06-15,16:00,23:59
shift-W-123,2026-06-15,00:00,08:00
shift-W-124,2026-06-16,08:00,16:00
shift-W-125,2026-06-16,16:00,23:59
shift-W-126,2026-06-16,00:00,08:00
shift-W-127,2026-06-17,08:00,16:00
shift-W-128,2026-06-17,16:00,23:59
shift-W-129,2026-06-17,00:00,08:00
shift-W-130,2026-06-18,08:00,16:00
shift-W-131,2026-06-18,16:00,23:59
shift-W-132,2026-06-18,00:00,08:00
shift-E-091,2026-06-19,08:00,16:00
shift-E-092,2026-06-19,16:00,23:59
shift-E-093,2026-06-19,00:00,08:00
shift-E-094,2026-06-20,08:00,16:00
shift-E-095,2026-06-20,16:00,23:59
shift-E-096,2026-06-20,00:00,08:00
shift-E-097,2026-06-21,08:00,16:00
shift-E-098,2026-06-21,16:00,23:59
shift-E-099,2026-06-21,00:00,08:00
shift-W-133,2026-06-22,08:00,16:00
